title_searched,title_omdb,year,genre,box_office,box_office_raw,imdb_rating,imdb_votes,rt_score,metacritic_score,rated,runtime
27 Dresses,27 Dresses,2008,"Comedy, Romance",76808654,"$76,808,654",6.1,"189,264",41%,47/100,PG-13,111 min
(500) Days of Summer,500 Days of Summer,2009,"Comedy, Drama, Romance",32391374,"$32,391,374",7.6,"613,237",86%,76/100,PG-13,95 min
A Dangerous Method,A Dangerous Method,2011,"Biography, Drama, Romance",5704709,"$5,704,709",6.4,"111,503",78%,76/100,R,99 min
A Serious Man,A Serious Man,2009,"Comedy, Drama",9228768,"$9,228,768",7.0,"155,273",89%,88/100,R,106 min
Across the Universe,Across the Universe,2007,"Drama, Fantasy, History",24602291,"$24,602,291",7.3,"116,796",53%,56/100,PG-13,133 min
Beginners,Beginners,2010,"Comedy, Drama, Romance",5790894,"$5,790,894",7.2,"96,877",86%,81/100,R,105 min
Dear John,Dear John,2010,"Drama, Romance, War",80014842,"$80,014,842",6.3,"162,831",28%,43/100,PG-13,108 min
Enchanted,Enchanted,2007,"Animation, Adventure, Comedy",127807262,"$127,807,262",7.1,"227,480",93%,75/100,PG,107 min
Fireproof,Fireproof,2008,"Drama, Romance",33456317,"$33,456,317",6.5,"25,430",38%,28/100,PG,122 min
Four Christmases,Four Christmases,2008,"Comedy, Drama, Romance",120146040,"$120,146,040",5.7,"88,143",24%,41/100,PG-13,88 min
Ghosts of Girlfriends Past,Ghosts of Girlfriends Past,2009,"Comedy, Fantasy, Romance",55250026,"$55,250,026",5.8,"97,521",27%,34/100,PG-13,100 min
Gnomeo and Juliet,Gnomeo & Juliet,2011,"Animation, Adventure, Comedy",99967670,"$99,967,670",5.9,"63,154",55%,53/100,G,84 min
Going the Distance,Going the Distance,2010,"Comedy, Romance",17804299,"$17,804,299",6.3,"60,312",54%,51/100,R,102 min
Good Luck Chuck,Good Luck Chuck,2007,"Comedy, Romance",35017297,"$35,017,297",5.6,"98,784",5%,19/100,R,96 min
He's Just Not That Into You,He's Just Not That Into You,2009,"Comedy, Drama, Romance",93953653,"$93,953,653",6.4,"193,345",42%,47/100,PG-13,129 min
High School Musical 3: Senior Year,High School Musical 3: Senior Year,2008,"Comedy, Drama, Family",90559416,"$90,559,416",5.0,"70,077",64%,57/100,G,112 min
I Love You Phillip Morris,I Love You Phillip Morris,2009,"Biography, Comedy, Crime",2037459,"$2,037,459",6.6,"102,125",71%,65/100,R,98 min
It's Complicated,It's Complicated,2009,"Comedy, Drama, Romance",112735375,"$112,735,375",6.6,"102,721",59%,57/100,R,120 min
Jane Eyre,Jane Eyre,2011,"Drama, Mystery, Romance",11242660,"$11,242,660",7.3,"96,381",85%,76/100,PG-13,120 min
Just Wright,Just Wright,2010,"Comedy, Romance, Sport",21540363,"$21,540,363",5.9,"16,319",47%,51/100,PG,100 min
Killers,Killers,2010,"Action, Comedy, Romance",47059963,"$47,059,963",5.5,"99,417",10%,21/100,PG-13,100 min
Knocked Up,Knocked Up,2007,"Comedy, Romance",148768917,"$148,768,917",6.9,"397,384",90%,85/100,R,129 min
Leap Year,Leap Year,2010,"Comedy, Romance",25918920,"$25,918,920",6.4,"114,391",24%,33/100,PG,100 min
Letters to Juliet,Letters to Juliet,2010,"Adventure, Comedy, Drama",53032453,"$53,032,453",6.5,"110,435",42%,50/100,PG,105 min
License to Wed,License to Wed,2007,"Comedy, Romance",43799818,"$43,799,818",5.3,"41,460",7%,25/100,PG-13,91 min
Life as We Know It,Life as We Know It,2010,"Comedy, Drama, Romance",53374681,"$53,374,681",6.5,"143,891",29%,39/100,PG-13,114 min
Love & Other Drugs,Love & Other Drugs,2010,"Comedy, Drama, Romance",32367005,"$32,367,005",6.7,"254,566",49%,55/100,R,112 min
Love Happens,Love Happens,2009,"Drama, Romance",22965110,"$22,965,110",5.7,"35,531",17%,33/100,PG-13,109 min
Made of Honor,Made of Honor,2008,"Comedy, Romance",46012734,"$46,012,734",5.9,"79,838",15%,37/100,PG-13,101 min
Mamma Mia!,Mamma Mia!,2008,"Comedy, Musical, Romance",144330569,"$144,330,569",6.5,"301,873",54%,51/100,PG-13,108 min
Marley and Me,Marley & Me,2008,"Drama, Family",143153751,"$143,153,751",7.0,"173,575",64%,53/100,PG,115 min
Midnight in Paris,Midnight in Paris,2011,"Comedy, Fantasy, Romance",56817045,"$56,817,045",7.6,"469,474",93%,81/100,PG-13,94 min
Miss Pettigrew Lives for a Day,Miss Pettigrew Lives for a Day,2008,"Comedy, Romance",12313694,"$12,313,694",7.0,"29,999",77%,63/100,PG-13,92 min
Monte Carlo,Monte Carlo,2011,"Adventure, Comedy, Family",23186769,"$23,186,769",5.8,"52,058",40%,43/100,PG,109 min
Music and Lyrics,Music and Lyrics,2007,"Comedy, Music, Romance",50572589,"$50,572,589",6.5,"111,234",64%,59/100,PG-13,104 min
My Week with Marilyn,My Week with Marilyn,2011,"Biography, Drama",14600347,"$14,600,347",6.9,"90,863",82%,65/100,R,99 min
New Year's Eve,New Year's Eve,2011,"Comedy, Romance",54544638,"$54,544,638",5.6,"91,644",7%,22/100,PG-13,118 min
Nick and Norah's Infinite Playlist,Nick and Norah's Infinite Playlist,2008,"Comedy, Drama, Music",31487293,"$31,487,293",6.6,"96,430",74%,64/100,PG-13,90 min
No Reservations,No Reservations,2007,"Comedy, Drama, Romance",43107979,"$43,107,979",6.3,"82,288",42%,50/100,PG,104 min
Not Easily Broken,Not Easily Broken,2009,"Drama, Romance",10572742,"$10,572,742",6.1,"3,460",31%,43/100,PG-13,99 min
One Day,One Day,2011,"Drama, Romance",13843771,"$13,843,771",7.0,"178,441",36%,48/100,PG-13,107 min
Our Family Wedding,Our Family Wedding,2010,"Comedy, Romance",20255281,"$20,255,281",5.1,"7,603",15%,38/100,PG-13,103 min
